id_pelicula,actor_id
tt0052698,nm0893341
tt0052698,nm0590452
tt0052698,nm0000901
tt0052698,nm0197950
tt0052698,nm0033929
tt0052698,nm0289842
tt0052698,nm0617741
tt0052698,nm0472020
tt0052698,nm0449166
tt0052698,nm0773723
tt0053357,nm0593192
tt0053357,nm0527017
tt0053357,nm0110917
tt0053357,nm0859183
tt0053357,nm0288031
tt0053357,nm0486742
tt0053357,nm0275987
tt0053357,nm0129478
tt0053357,nm0408990
tt0053357,nm0038066
tt0052661,nm0473228
tt0052661,nm0374919
tt0052661,nm0000728
tt0052661,nm0290955
tt0052661,nm0885706
tt0052661,nm0773150
tt0052661,nm0907267
tt0052661,nm0871020
tt0052661,nm0755775
tt0052661,nm0415738
tt0053228,nm0263929
tt0053228,nm0943469
tt0053228,nm0755697
tt0053228,nm0017530
tt0053228,nm0299802
tt0053228,nm0066487
tt0053228,nm0003248
tt0053228,nm0034357
tt0053228,nm0587582
tt0053228,nm0067176
tt0053752,nm0712731
tt0053752,nm0783288
tt0053752,nm0000564
tt0053752,nm0601476
tt0053752,nm0789185
tt0053752,nm0866627
tt0053752,nm0293661
tt0053752,nm0494452
tt0053752,nm0539942
tt0053752,nm0330101
tt0051874,nm0549773
tt0051874,nm0265761
tt0051874,nm0013567
tt0051874,nm0529876
tt0051874,nm0305517
tt0051874,nm2909247
tt0051874,nm0554819
tt0051874,nm0738139
tt0051874,nm0659270
tt0051874,nm0722023
tt0053063,nm0201638
tt0053063,nm0041509
tt0053063,nm0785771
tt0053063,nm0350826
tt0053063,nm0142707
tt0053063,nm0200434
tt0053063,nm0893834
tt0053063,nm0615913
tt0053063,nm0053884
tt0053063,nm0518623
tt0052997,nm0370144
tt0052997,nm0665902
tt0052997,nm0515193
tt0052997,nm0000277
tt0052997,nm0285302
tt0052997,nm0601476
tt0052997,nm0018776
tt0052997,nm0083424
tt0052997,nm0178509
tt0052997,nm0834320
tt0052698,nm0893341
tt0052698,nm0590452
tt0052698,nm0000901
tt0052698,nm0197950
tt0052698,nm0033929
tt0052698,nm0289842
tt0052698,nm0617741
tt0052698,nm0472020
tt0052698,nm0449166
tt0052698,nm0773723
tt0053357,nm0593192
