actor_id,name,year_birthday,films_done,jobs,awards
nm0893341,Lino Ventura,1919,"['El ejército de las sombras', 'Ascensor para el cadalso', 'Una dama y un bribón', 'Los miserables']","['Reparto', 'Banda sonora']",3
nm0590452,Sandra Milo,1933,"['Fellini 8½', 'Giulietta de los espíritus', 'Adua y sus amigas', 'La entrevista']","['Reparto', 'Equipos adicionales']",6
nm0000901,Jean-Paul Belmondo,1933,"['Pierrot, el loco', 'Léon Morin, sacerdote', 'Al final de la escapada', 'Casino Royale']","['Reparto', 'Producción', 'Especialistas']",6
nm0197950,Marcel Dalio,1899,"['Sabrina', 'La regla del juego', 'Tener y no tener', 'Cómo robar un millón y...']","['Reparto', 'Equipos adicionales', 'Guion']",0
nm0033929,Michel Ardan,Not found,"['Les bidasses en vadrouille', 'La grande nouba', 'A todo riesgo', 'La grande java']","['Reparto', 'Producción', 'Guion']",0
nm0289842,Simone Desmaison,Not found,"['El rififi y las mujeres', 'A todo riesgo', 'El recreo', 'Plaisir du théâtre']","['Reparto', 'Guion']",0
nm0617741,Michèle Méritz,1923,"['La guerra de los botones', 'A todo riesgo', 'El bello Sergio', 'Los primos']",['Reparto'],0
nm0472020,Stan Krol,Not found,"['A todo riesgo', ""Jusqu'à plus soif""]",['Reparto'],0
nm0449166,Evelyne Ker,1936,"['A nuestros amores', 'Au théâtre ce soir', 'La crécelle', 'A todo riesgo']",['Reparto'],0
nm0773723,Betty Schneider,Not found,"['Paris nous appartient', 'A todo riesgo', 'Los fanáticos', 'Mi tío']",['Reparto'],0
nm0593192,Cameron Mitchell,1918,"['El gran Chaparral', 'Cómo casarse con un millonario', 'Combate decisivo', 'Quiéreme o déjame']","['Reparto', 'Dirección', 'Guion']",3
nm0527017,John Lupton,1928,"['Aeropuerto 1975', 'Julio César', 'Jesse James contra la hija de Frankenstein', 'Todos los hermanos eran valientes']",['Reparto'],1
nm0110917,Steve Brodie,1919,"['Retorno al pasado', 'El motín del Caine', 'Prueba heroica', 'La invasión de las arañas gigantes']",['Reparto'],0
nm0859183,Lyn Thomas,1929,"['Big Timber', 'Space Master X-7', 'Alaska Passage', 'Triple Trouble']",['Reparto'],0
nm0288031,Ron Foster,1930,"['House of the Damned', 'Esta casa es una ruina', ""Ma Barker's Killer Brood"", 'The Guiding Light']",['Reparto'],0
nm0486742,Paul Langton,1913,"['La dimensión desconocida', 'The Snow Creature', 'Fighting Back', 'El terror del más allá']","['Reparto', 'Banda sonora']",0
nm0275987,Logan Field,Not found,"['Halloween 4: El regreso de Michael Myers', 'Pier 5, Havana', 'Los hombres de Harrelson', 'The Big Story']",['Reparto'],Walt Logan Field
nm0129478,King Calder,1897,"['Time Table', 'The Best of Broadway', 'Martin Kane, Private Eye', 'La dimensión desconocida']",['Reparto'],0
