idOwner,imdb_rating,direction,writers,plot,length,name,year
tt0052698,"7,5",['Claude Sautet'],"['José Giovanni', 'Claude Sautet', 'Pascal Jardin']","Un despiadado criminal huye de la persecución, lo que implica cada vez más víctimas.",1h 50min,A todo riesgo,1960
tt0053357,"5,5",['Edward L. Cahn'],"['Robert E. Kent', 'Orville H. Hampton']",Tres asesinos profesionales irrumpen en la casa de un empleado del aeropuerto para disparar al avión en el que un primer ministro asiático debe abandonar Estados Unidos.,1h 11min,Three Came to Kill,1960
tt0052661,"6,1",['Alfred Weidenmann'],"['Herbert Reinecker', 'Igor Sentjurc']",Añade un argumento en tu idioma,1h 32min,Las dos caras del destino,1960
tt0053228,"6,2",['Jürgen Roland'],"['Edgar Wallace', 'Egon Eis', 'Wolfgang Menge']","Añade un argumento en tu idioma
A strange, red circle appears on the neck of a man saved from the guillotine. What is its mysterious meaning? Tragically, it turns out to be something of a family curse, as each generation thereafter bears the same sign, which in turn leads to blackmail and murder.",1h 32min,El círculo rojo,1960
tt0053752,"6,6",['John Guillermin'],"['John Brophy', 'Howard Clewes', 'Richard Maibaum']","Añade un argumento en tu idioma
In 1901, a group of IRA members decides to rob the Bank of England in order to finance their movement and to embarrass the British government.",1h 25min,El robo al banco de Inglaterra,1960
tt0051874,"5,8",['René Cardona'],"['Adolfo Torres Portillo', 'Carmen Toscano']","Felipe y Margarita se casan y tienen al pequeño Jorgito, y su tío Gerardo les cuenta la maldición que acecha al primer hijo de la familia.",1h 15min,La Llorona,1960
tt0053063,"5,9",['Etienne Périer'],"['Pierre Boileau', 'Thomas Narcejac', 'Dominique Fabre']","Añade un argumento en tu idioma
(1961) Danielle Darrieux, Michael Auclair. A singer believes she's being haunted by the ghost of her dead husband.",1h 33min,Meurtre en 45 tours,1960
tt0052997,"7,2",['Basil Dearden'],"['Bryan Forbes', 'John Boland']",Un veterano descontento recluta a un grupo de colegas caídos en desgracia para realizar un atraco a un banco con precisión militar.,1h 56min,La Liga de los caballeros,1960
tt0053979,"6,3",['Luis Alcoriza'],['Luis Alcoriza'],"Añade un argumento en tu idioma
Lorenzo Gómez, ""El Gato"" and his gang, assault the car where Alicia and a boy were kissing each other.",1h 40min,Los jóvenes,1961
tt0053829,"6,6",['Will Tremper'],['Will Tremper'],"Añade un argumento en tu idioma
An East German farmer is being harassed by SED (Sozialistische Einheitspartei Deutschlands) superiors since he is no longer willing to submit to the forced collectivization. He plans to flee to the West.",1h 44min,Huída a Berlin,1961
tt0054071,"7,2",['Pierre Grimblat'],"['Pierre Grimblat', 'Jean-Michel Sorel', 'François Truffaut']","Añade un argumento en tu idioma
A down-on-his-luck reporter is framed on espionage charges by the government after taking some photos the government didn't want made public. He finds that in order to clear himself he has to transport some highly classified microfilm and find out who the spy is in the government who has been giving secret information about missile sites to the enemy.",1h 25min,Servicio secreto,1961
tt0054712,"5,4",['Riccardo Freda'],"['Marcello Coscia', 'Dino De Palma', 'Luciano Martino']","Añade un argumento en tu idioma
Italian cinema version of the first part of Victor Hugo's classic novel ""Les Miserables"".",1h 40min,Caccia all'uomo,1961
tt0054054,"5,1","['Federico Curiel', 'Stillman Segar']","['Federico Curiel', 'Alfredo Ruanova', 'Carlos Enrique Taboada']","Añade un argumento en tu idioma
An aristocratic vampire swears an oath to kill the enemies who killed his father. In order to terrify them even further, he warns each one when he is coming for them.",1h 18min,La maldición de Nostradamus,1961
